account_id,steamid,avatar,avatarmedium,avatarfull,profileurl,personaname,last_login,full_history_time,cheese,fh_unavailable,loccountrycode,last_match_time,name,country_code,fantasy_role,team_id,team_name,team_tag,is_locked,is_pro,locked_until
11929046,76561197972194774,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/98/98d0e44de0c913130eb6f13526b4dde9bcefc358.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/98/98d0e44de0c913130eb6f13526b4dde9bcefc358_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/98/98d0e44de0c913130eb6f13526b4dde9bcefc358_full.jpg,https://steamcommunity.com/id/sdran06/,MISHIMA,2017-05-17T21:48:58.432Z,2017-02-28T22:11:50.669Z,0,False,CA,2018-07-22T07:28:15.000Z,04,,2,2677025,,,False,True,1481500800
12231202,76561197972496930,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/6d/6d3af5ce47303816fd2d9467b1fe1d8749868b04.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/6d/6d3af5ce47303816fd2d9467b1fe1d8749868b04_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/6d/6d3af5ce47303816fd2d9467b1fe1d8749868b04_full.jpg,https://steamcommunity.com/profiles/76561197972496930/,lost,,2018-01-20T17:35:27.773Z,0,False,,2018-06-29T02:22:56.000Z,Limmp,,0,3,compLexity Gaming,coL,True,True,1535785200
16317795,76561197976583523,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/42/4251eb554eb811177f7e02e30e3ba7bcb331403a.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/42/4251eb554eb811177f7e02e30e3ba7bcb331403a_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/42/4251eb554eb811177f7e02e30e3ba7bcb331403a_full.jpg,https://steamcommunity.com/id/PAADA/,PPPPP,2017-11-14T19:40:15.599Z,2018-06-11T04:19:16.376Z,0,False,BR,2018-07-23T05:10:48.000Z,PAADA,br,2,67,paiN Gaming,paiN,False,True,0
16769223,76561197977034951,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ef/efedb4d1bb6e9b84be7842b86b294108faf2d27a.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ef/efedb4d1bb6e9b84be7842b86b294108faf2d27a_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ef/efedb4d1bb6e9b84be7842b86b294108faf2d27a_full.jpg,https://steamcommunity.com/id/radiobouffon/,★★,2015-12-12T12:35:24.001Z,2015-12-12T12:35:28.512Z,0,True,,2018-07-22T21:10:32.000Z,radiobouffon,fr,1,5233630,Alternance de Puissance,AdP,False,True,0
18180970,76561197978446698,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/09/095ba162cd2e0ae7c5bb504fb1ae88e7cadb9c84.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/09/095ba162cd2e0ae7c5bb504fb1ae88e7cadb9c84_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/09/095ba162cd2e0ae7c5bb504fb1ae88e7cadb9c84_full.jpg,https://steamcommunity.com/profiles/76561197978446698/,You can't buy culture,2016-03-25T17:31:22.021Z,2016-04-05T07:53:09.017Z,0,False,,2018-07-06T19:33:45.000Z,Handsken,,0,5059375,The Final Tribe,TFT,True,True,1535785200
19195168,76561197979460896,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/8b/8be8bea9f26b2c19219ffa3b488ace5f8ccbfdae.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/8b/8be8bea9f26b2c19219ffa3b488ace5f8ccbfdae_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/8b/8be8bea9f26b2c19219ffa3b488ace5f8ccbfdae_full.jpg,https://steamcommunity.com/id/Notah/,N-,2018-01-20T20:15:42.544Z,2018-02-16T19:56:14.747Z,0,False,FI,2018-07-22T17:17:48.000Z,Notah,,0,5015830,Helsinki REDS,hREDS,True,True,1535785200
19672354,76561197979938082,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/91/914c45c9d877bef94f6e0d20bab2c645ac2645a8.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/91/914c45c9d877bef94f6e0d20bab2c645ac2645a8_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/91/914c45c9d877bef94f6e0d20bab2c645ac2645a8_full.jpg,https://steamcommunity.com/id/BigDaddyN0tail42/,Notail.SebastianDabs,,2018-02-27T16:35:21.593Z,0,True,DK,2018-06-25T17:43:31.000Z,BigDaddyN0tail,,2,2586976,OG,OG,True,True,1535785200
19757254,76561197980022982,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/bc/bc5079d4d6deda11de747290b00ee8a51a661649.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/bc/bc5079d4d6deda11de747290b00ee8a51a661649_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/bc/bc5079d4d6deda11de747290b00ee8a51a661649_full.jpg,https://steamcommunity.com/profiles/76561197980022982/,SINGSONG,,2018-04-18T13:29:51.991Z,0,False,,2018-04-11T11:46:42.000Z,SingSing,hk,1,59,Kaipi,KP,False,True,1481500800
20237599,76561197980503327,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/60/6029236517daee08e12a2f1e3f280facfb0dfe38.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/60/6029236517daee08e12a2f1e3f280facfb0dfe38_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/60/6029236517daee08e12a2f1e3f280facfb0dfe38_full.jpg,https://steamcommunity.com/id/linkdota/,Mr. Hoelgaard,,,0,,DK,2018-02-13T15:04:13.000Z,Link,dk,1,1335685,MeetYourMakers.Dota2,MYM,False,True,0
20321748,76561197980587476,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/6f/6fa0eba0bda6c4c3b355d5b443d9e3b399fe6c6b.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/6f/6fa0eba0bda6c4c3b355d5b443d9e3b399fe6c6b_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/6f/6fa0eba0bda6c4c3b355d5b443d9e3b399fe6c6b_full.jpg,https://steamcommunity.com/profiles/76561197980587476/,kid,2016-11-07T10:10:21.130Z,2018-02-06T01:52:54.853Z,0,False,FJ,2018-07-23T05:03:42.000Z,kid,,0,2786652,Kingdra,King,True,True,1535785200
